county,tstpos_111120,pb_pos_111120,mort_111120,pbmort_111120
Adams,2223,0,25,0
Alexander,154,0,2,0
Bond,544,0,9,0
Boone,2171,0,26,0
Brown,127,0,0,0
Bureau,1022,0,19,0
Calhoun,84,0,0,0
Carroll,506,0,14,0
Cass,476,0,11,0
Champaign,6824,0,28,0
Christian,912,0,31,0
Clark,334,0,18,0
Clay,350,0,14,0
Clinton,1919,0,31,0
Coles,2178,0,40,0
Cook,88576,0,2422,0
Crawford,684,0,6,0
Cumberland,323,0,6,0
De Witt,303,0,6,0
DeKalb,2779,0,43,0
Douglas,825,0,9,0
DuPage,25681,0,622,0
Edgar,175,0,11,0
Edwards,116,0,0,0
Effingham,1330,0,4,0
Fayette,735,0,24,0
Ford,222,0,16,0
Franklin,1110,0,10,0
Fulton,657,0,2,0
Gallatin,117,0,2,0
Greene,342,0,17,0
Grundy,1125,0,7,0
Hamilton,148,0,2,0
Hancock,369,0,4,0
Hardin,59,0,0,0
Henderson,137,0,0,0
Henry,888,0,9,0
Iroquois,572,0,19,0
Jackson,1660,0,26,0
Jasper,294,0,10,0
Jefferson,1017,0,52,0
Jersey,495,0,21,0
Jo Daviess,584,0,9,0
Johnson,408,0,0,0
Kane,18650,0,356,0
Kankakee,3867,0,81,0
Kendall,3083,0,30,0
Knox,1467,0,21,0
Lake,22618,0,522,0
LaSalle,2776,0,69,0
Lawrence,379,0,8,0
Lee,926,0,2,0
Livingston,769,0,12,0
Logan,666,0,4,0
Macon,3685,0,59,0
Macoupin,877,0,11,0
Madison,7751,0,159,0
Marion,1207,0,25,0
Marshall,174,0,3,0
Mason,361,0,7,0
Massac,172,0,2,0
McDonough,828,0,21,0
McHenry,7265,0,121,0
McLean,4500,0,38,0
Menard,193,0,1,0
Mercer,339,0,6,0
Monroe,1068,0,32,0
Montgomery,687,0,17,0
Morgan,1064,0,26,0
Moultrie,496,0,6,0
Ogle,1428,0,8,0
Peoria,5083,0,79,0
Perry,507,0,16,0
Piatt,290,0,2,0
Pike,441,0,8,0
Pope,45,0,1,0
Pulaski,247,0,1,0
Putnam,107,0,0,0
Randolph,1403,0,15,0
Richland,355,0,18,0
Rock Island,4522,0,95,0
Saline,653,0,11,0
Sangamon,4638,0,66,0
Schuyler,101,0,1,0
Scott,116,0,0,0
Shelby,770,0,12,0
St. Clair,8405,0,224,0
Stark,102,0,3,0
Stephenson,1242,0,9,0
Tazewell,3034,0,59,0
Union,821,0,25,0
Vermilion,1974,0,12,0
Wabash,264,0,6,0
Warren,570,0,9,0
Washington,353,0,2,0
Wayne,546,0,18,0
White,299,0,5,0
Whiteside,1804,0,31,0
Will,20657,0,445,0
Williamson,2062,0,61,0
Winnebago,11638,0,187,0
Woodford,781,0,17,0
