health_district_or_health,white,black,asian_or_pacific_islander,native_american,native_hawaiian,two_or_more_races,other_race,not_reported,latino,not_latino,not_reported,total_cases
Alexandria,954.0,948.0,167.0,4.0,-,32.0,125.0,270.0,2059.0,-,-,4559.0
Alleghany,2053.0,247.0,47.0,,-,25.0,33.0,993.0,214.0,-,-,3616.0
Arlington,1610.0,498.0,256.0,5.0,-,57.0,132.0,508.0,2064.0,-,-,5130.0
Central Shenandoah,4482.0,296.0,102.0,4.0,-,63.0,107.0,1206.0,1300.0,-,-,7560.0
Central Virginia,2492.0,550.0,40.0,10.0,-,29.0,38.0,2293.0,120.0,-,-,5572.0
Chesapeake,2009.0,2089.0,102.0,12.0,-,69.0,70.0,593.0,427.0,-,-,5371.0
Chesterfield,2644.0,1686.0,138.0,10.0,-,61.0,211.0,1559.0,2228.0,-,-,8537.0
Chickahominy,1450.0,470.0,20.0,13.0,-,11.0,29.0,589.0,136.0,-,-,2718.0
Crater,1235.0,2598.0,35.0,7.0,-,16.0,74.0,1195.0,268.0,-,-,5428.0
Cumberland Plateau,1575.0,60.0,,,-,10.0,7.0,163.0,16.0,-,-,1836.0
Eastern Shore,309.0,879.0,,,-,1.0,13.0,78.0,284.0,-,-,1569.0
Fairfax,5692.0,2135.0,2325.0,37.0,-,164.0,1032.0,2842.0,11824.0,-,-,26051.0
Hampton,414.0,1089.0,20.0,3.0,-,20.0,75.0,595.0,97.0,-,-,2313.0
Henrico,2047.0,2207.0,282.0,14.0,-,102.0,232.0,1125.0,1034.0,-,-,7043.0
Lenowisco,1807.0,71.0,,,-,29.0,12.0,248.0,48.0,-,-,2226.0
Lord Fairfax,2787.0,189.0,24.0,4.0,-,31.0,99.0,504.0,932.0,-,-,4570.0
Loudoun,2256.0,402.0,609.0,7.0,-,76.0,347.0,2036.0,2827.0,-,-,8560.0
Mount Rogers,3846.0,102.0,7.0,,-,13.0,18.0,341.0,334.0,-,-,4661.0
New River,3152.0,289.0,139.0,5.0,-,104.0,21.0,1179.0,266.0,-,-,5155.0
Norfolk,1216.0,2696.0,82.0,11.0,-,60.0,109.0,1180.0,451.0,-,-,5805.0
Peninsula,1493.0,1499.0,76.0,7.0,-,69.0,197.0,1721.0,478.0,-,-,5540.0
Piedmont,956.0,760.0,13.0,7.0,-,13.0,20.0,883.0,84.0,-,-,2736.0
Pittsylvania-Danville,952.0,946.0,5.0,,-,8.0,5.0,812.0,108.0,-,-,2838.0
Portsmouth,460.0,1807.0,23.0,4.0,-,25.0,65.0,468.0,100.0,-,-,2952.0
Prince William,2509.0,1916.0,788.0,33.0,-,153.0,745.0,4377.0,7733.0,-,-,18254.0
Rappahannock,2068.0,1095.0,128.0,7.0,-,69.0,182.0,1607.0,1578.0,-,-,6734.0
Rappahannock Rapidan,1321.0,394.0,22.0,3.0,-,48.0,44.0,795.0,925.0,-,-,3552.0
Richmond,1167.0,1997.0,71.0,4.0,-,57.0,185.0,863.0,1496.0,-,-,5840.0
Roanoke,949.0,700.0,50.0,,-,22.0,39.0,1061.0,521.0,-,-,3343.0
Southside,532.0,666.0,3.0,,-,87.0,16.0,709.0,11.0,-,-,2024.0
Thomas Jefferson,2492.0,646.0,145.0,5.0,-,108.0,184.0,370.0,783.0,-,-,4733.0
Three Rivers,1029.0,831.0,,,-,14.0,29.0,274.0,196.0,-,-,2387.0
Virginia Beach,3351.0,2082.0,354.0,16.0,-,111.0,145.0,2178.0,627.0,-,-,8864.0
West Piedmont,1759.0,658.0,16.0,3.0,-,18.0,15.0,837.0,311.0,-,-,3617.0
Western Tidewater,1355.0,2181.0,23.0,4.0,-,64.0,86.0,1037.0,62.0,-,-,4812.0
