health_district_or_health,White,Black,Asian or Pacific Islander,Native American,Native_Hawaiian,Two or more races,Other Race,Not Reported,Latino,Not_latino,Not_reported,total_cases
Alexandria,871,888,161,4,-,29,100,262,1970,-,-,4285.0
Alleghany,1514,190,33,,-,20,23,759,188,-,-,2731.0
Arlington,1410,469,235,5,-,49,113,457,1909,-,-,4647.0
Central Shenandoah,4055,281,87,4,-,56,96,1025,1250,-,-,6854.0
Central Virginia,2048,477,32,9,-,23,33,2222,101,-,-,4945.0
Chesapeake,1763,1941,95,12,-,63,58,624,389,-,-,4945.0
Chesterfield,2293,1545,114,8,-,57,182,1525,2062,-,-,7786.0
Chickahominy,1254,427,19,7,-,8,24,545,109,-,-,2393.0
Crater,1116,2495,27,7,-,13,67,1116,236,-,-,5077.0
Cumberland Plateau,1219,58,,,-,11,6,122,14,-,-,1434.0
Eastern Shore,293,869,,,-,1,13,79,274,-,-,1534.0
Fairfax,5109,1962,2136,36,-,144,949,2659,11072,-,-,24067.0
Hampton,342,977,18,4,-,19,70,623,85,-,-,2138.0
Henrico,1856,2025,255,12,-,94,207,978,967,-,-,6394.0
Lenowisco,1344,23,,,-,18,10,199,29,-,-,1624.0
Lord Fairfax,2349,166,20,3,-,26,87,467,872,-,-,3990.0
Loudoun,2012,369,536,6,-,66,267,1986,2666,-,-,7908.0
Mount Rogers,3140,90,7,,-,13,14,217,314,-,-,3795.0
New River,2685,272,122,5,-,73,19,1011,250,-,-,4437.0
Norfolk,1082,2603,75,9,-,60,100,1085,405,-,-,5419.0
Peninsula,1336,1390,66,7,-,65,185,1655,442,-,-,5146.0
Piedmont,830,692,12,5,-,8,15,875,76,-,-,2513.0
Pittsylvania-Danville,824,827,4,,-,7,6,780,90,-,-,2538.0
Portsmouth,430,1757,21,4,-,23,64,456,97,-,-,2852.0
Prince William,2200,1748,682,30,-,129,606,4437,7221,-,-,17053.0
Rappahannock,1839,1025,103,6,-,52,149,1515,1473,-,-,6162.0
Rappahannock Rapidan,1095,317,18,2,-,42,40,716,887,-,-,3117.0
Richmond,1030,1858,62,3,-,49,179,758,1429,-,-,5368.0
Roanoke,734,601,45,,-,17,32,900,480,-,-,2810.0
Southside,474,615,3,,-,53,16,675,9,-,-,1845.0
Thomas Jefferson,2329,610,127,5,-,94,182,367,753,-,-,4467.0
Three Rivers,942,787,,,-,13,26,292,195,-,-,2265.0
Virginia Beach,2973,1903,326,13,-,86,132,2024,544,-,-,8001.0
West Piedmont,1435,581,13,2,-,10,12,681,296,-,-,3030.0
Western Tidewater,1240,2063,22,2,-,89,100,1040,57,-,-,4613.0
